Date,Open,High,Low,Close,Volume,Adj Close
2016-03-18,19.059999,19.48,18.639999,19.219999,24900,19.219999
2016-03-17,18.549999,19.00,18.440001,18.959999,7400,18.959999
2016-03-16,18.610001,18.620001,18.360001,18.549999,9000,18.549999
2016-03-15,18.90,19.01,18.559999,18.629999,9200,18.629999
2016-03-14,19.360001,19.360001,18.889999,18.98,7600,18.98
2016-03-11,19.200001,19.58,19.15,19.58,11000,19.58
2016-03-10,18.610001,19.50,18.610001,19.059999,21000,19.059999
2016-03-09,18.809999,19.01,18.58,18.65,7300,18.65
2016-03-08,19.01,19.370001,18.74,18.780001,9600,18.780001
2016-03-07,18.76,19.24,18.35,19.219999,44600,19.219999
2016-03-04,19.17,19.42,18.709999,18.75,10300,18.75
2016-03-03,18.959999,19.389999,18.959999,19.17,21700,19.17
2016-03-02,18.83,19.10,18.629999,19.01,12100,19.01
2016-03-01,18.65,19.139999,17.99,18.85,12400,18.85
2016-02-29,18.66,18.92,18.58,18.60,14200,18.60
2016-02-26,18.50,19.389999,17.85,18.629999,84400,18.629999
2016-02-25,18.469999,18.50,16.57,18.50,35600,18.50
2016-02-24,17.610001,18.700001,17.610001,18.26,81900,18.26
2016-02-23,19.35,19.49,18.41,18.51,111400,18.51
2016-02-22,18.780001,19.74,18.41,19.27,91400,19.27
2016-02-19,18.219999,18.75,17.91,18.540001,54100,18.540001
2016-02-18,18.299999,18.309999,18.15,18.219999,6900,18.219999
2016-02-17,18.23,18.40,18.200001,18.379999,12400,18.379999
2016-02-16,18.25,18.389999,18.030001,18.32,4700,18.32
2016-02-12,18.32,18.41,17.209999,18.139999,30800,18.139999
2016-02-11,18.25,18.50,17.559999,18.01,47700,18.01
2016-02-10,17.40,18.450001,17.40,18.190001,47200,18.190001
2016-02-09,16.59,17.59,16.51,17.219999,81400,17.219999
2016-02-08,16.379999,16.84,16.26,16.75,14900,16.75
2016-02-05,16.719999,18.129999,16.530001,16.530001,23300,16.530001
2016-02-04,18.01,18.01,17.23,17.440001,17400,17.440001
2016-02-03,18.129999,18.129999,17.57,17.799999,15700,17.799999
2016-02-02,18.50,18.50,17.93,18.07,8200,17.919999
2016-02-01,18.690001,18.790001,18.58,18.58,8800,18.425766
2016-01-29,18.74,18.940001,18.469999,18.809999,31000,18.653856
2016-01-28,18.049999,18.459999,17.950001,18.35,9200,18.197676
2016-01-27,18.02,18.049999,17.690001,17.790001,11700,17.642325
2016-01-26,17.719999,18.07,17.719999,17.90,5900,17.75141
2016-01-25,18.379999,18.379999,17.66,17.709999,16600,17.562987
2016-01-22,18.50,18.66,18.200001,18.379999,19900,18.227425
2016-01-21,18.52,18.83,18.32,18.32,18400,18.167924
2016-01-20,18.299999,18.719999,17.959999,18.67,14600,18.515019
2016-01-19,19.129999,19.129999,18.27,18.49,13400,18.336513
2016-01-15,18.870001,19.139999,18.68,19.09,20100,18.931533
2016-01-14,18.98,19.530001,18.98,19.440001,32300,19.278628
2016-01-13,19.65,19.719999,18.83,18.91,17100,18.753026
2016-01-12,19.620001,19.74,19.110001,19.66,25000,19.496801
2016-01-11,19.559999,19.74,19.40,19.68,21100,19.516635
2016-01-08,19.790001,19.870001,19.58,19.58,17200,19.417465
2016-01-07,19.799999,20.08,19.65,19.690001,14600,19.526552
2016-01-06,19.65,20.10,19.58,20.049999,17400,19.883563
2016-01-05,19.889999,19.969999,19.700001,19.889999,14600,19.724891
2016-01-04,20.26,20.41,19.360001,19.92,32500,19.754643
2015-12-31,20.780001,20.870001,20.459999,20.459999,40600,20.290159
2015-12-30,20.98,20.98,20.629999,20.690001,12900,20.518251
2015-12-29,20.530001,21.049999,20.530001,20.860001,9900,20.68684
2015-12-28,20.52,20.52,20.25,20.40,6100,20.230658
2015-12-24,20.43,20.530001,20.43,20.469999,1700,20.300076
2015-12-23,20.25,20.700001,20.25,20.639999,10000,20.468665
2015-12-22,20.68,21.01,20.200001,20.34,14900,20.171156
2015-12-21,20.92,20.940001,20.440001,20.67,20800,20.498417
2015-12-18,21.35,21.620001,20.620001,20.719999,45000,20.548001
2015-12-17,20.950001,21.99,20.73,21.42,42600,21.242191
2015-12-16,20.92,20.92,20.35,20.860001,13200,20.68684
2015-12-15,20.34,20.85,20.08,20.76,11400,20.58767
2015-12-14,20.200001,20.360001,20.030001,20.26,22100,20.09182
2015-12-11,20.32,20.610001,20.049999,20.23,18800,20.062069
2015-12-10,20.57,21.08,20.290001,20.65,19300,20.478582
2015-12-09,20.870001,21.57,20.59,20.719999,16800,20.548001
2015-12-08,20.879999,21.040001,20.700001,20.799999,15800,20.627337
2015-12-07,21.26,21.280001,20.860001,20.90,23000,20.726507
2015-12-04,21.24,21.620001,21.18,21.40,25800,21.222357
2015-12-03,21.719999,21.969999,21.190001,21.309999,22500,21.133103
2015-12-02,21.93,22.10,21.67,21.68,15100,21.500033
2015-12-01,22.02,22.219999,21.58,21.99,17000,21.807459
2015-11-30,21.90,22.08,21.82,21.85,20100,21.668622
2015-11-27,21.799999,21.940001,21.66,21.889999,9300,21.708289
2015-11-25,21.690001,21.90,21.459999,21.76,28700,21.579369
